sample,label,AHR.10000.txt_central_coverage,AR.10000.txt_central_coverage,ATF2.10000.txt_central_coverage,ATF7.10000.txt_central_coverage,CEBPA.10000.txt_central_coverage,EOMES.10000.txt_central_coverage,ERF.10000.txt_central_coverage,ESR1.10000.txt_central_coverage,FOXA1.10000.txt_central_coverage,FOXA2.10000.txt_amplitude,FOXA2.10000.txt_central_coverage,FOXA3.10000.txt_central_coverage,GATA4.10000.txt_central_coverage,GATA6.10000.txt_central_coverage,HLF.10000.txt_central_coverage,HMGA1.10000.txt_central_coverage,HOXA2.10000.txt_central_coverage,IKZF2.10000.txt_central_coverage,IRF4.10000.txt_central_coverage,LEF1.10000.txt_amplitude,MIXL1.10000.txt_amplitude,MYNN.10000.txt_central_coverage,NFIL3.10000.txt_central_coverage,NKX3.1.10000.txt_central_coverage,NR1H2.10000.txt_amplitude,NR1H2.10000.txt_central_coverage,NR2F6.10000.txt_central_coverage,NR4A1.10000.txt_central_coverage,NR5A2.10000.txt_amplitude,PHOX2B.10000.txt_central_coverage,PRDM1.10000.txt_central_coverage,RARA.10000.txt_central_coverage,SOX13.10000.txt_central_coverage,SOX5.10000.txt_central_coverage,SPIB.10000.txt_central_coverage,TCF3.10000.txt_central_coverage,TCF4.10000.txt_central_coverage,TCF7.10000.txt_central_coverage,TLX1.10000.txt_central_coverage,TP63.10000.txt_central_coverage,ZBTB11.10000.txt_central_coverage,ZIM3.10000.txt_amplitude,ZIM3.10000.txt_central_coverage,ZNF317.10000.txt_central_coverage,ZNF382.10000.txt_central_coverage,ZSCAN16.10000.txt_central_coverage,ZSCAN4.10000.txt_central_coverage
filtered_MAL0718m.hg19.frag,0,0.572908,-0.359294,-0.1651,-0.312936,-0.457045,2.172541,0.270937,0.9252,-0.258978,-2.123855,-0.122269,0.532606,0.231687,0.666618,0.009287,0.971392,0.365433,0.161628,0.025937,0.935673,-0.063596,-0.013382,-0.452652,-0.055372,0.035756,0.214652,0.342545,-0.197107,-0.759077,0.833559,0.800814,0.337382,-0.28389,-0.255474,-0.241185,0.049711,-0.059097,0.201261,0.589712,-0.052745,0.704265,-0.636657,0.071858,0.172738,-1.077819,-1.330416,-0.168136
filtered_MAL0719.hg19.frag,1,0.153833,1.541093,1.66454,0.473727,0.580332,2.701874,-0.241637,1.190264,1.04429,0.783856,0.699576,0.797078,1.076412,1.320337,0.103383,-1.576183,0.407231,0.886622,0.282508,0.424393,-0.33227,0.997845,1.034435,1.450043,0.157507,-0.260164,0.126585,-0.084411,0.650107,-0.907316,0.353357,0.044853,0.37976,0.626507,-0.051183,1.259341,1.176062,0.62085,0.067843,0.769003,-1.662524,-0.706914,1.683936,0.636832,-1.466127,0.254994,-0.094257
filtered_MAL0719m.hg19.frag,0,-0.516781,0.159419,0.608435,-0.025474,-1.62044,-1.053464,-0.927778,0.890342,0.173091,-1.573669,-0.016691,-0.768478,0.901242,-0.14247,-0.74129,0.278302,-0.153606,-1.236366,-1.068913,-0.148869,-0.612676,-0.639816,0.035321,-0.628046,-0.454284,-1.160118,-0.068307,-0.68503,-0.856039,0.273595,0.894914,-0.305943,-0.106391,0.491343,-1.241626,-1.264865,-0.798931,-0.912509,-0.551593,-0.754298,0.196394,-0.671603,0.092559,-0.422832,1.281454,0.809433,0.725373
filtered_MAL0728.hg19.frag,1,0.594964,-0.094668,-0.255611,-0.312001,-0.273677,1.854788,-0.145051,0.201899,-0.004349,0.602291,-0.456089,0.394947,0.437182,-0.145401,-0.302025,-0.077477,-0.904387,-0.2666,0.109249,-1.205124,1.091152,-0.252631,0.601174,-0.02813,1.265723,-0.609682,-0.237915,-0.586847,-1.038453,-1.15215,-1.362215,-0.138354,0.888591,-0.426591,0.281232,-0.359023,0.369584,0.565033,-0.449488,0.170545,-0.646782,-0.969817,1.2669,1.075643,0.36538,-0.644288,-0.275468
filtered_MAL0728m.hg19.frag,0,0.073584,-1.137363,0.301582,-0.114751,0.262179,-0.857273,0.431595,-0.206954,0.688939,-0.55773,-0.633513,0.480045,-0.875992,-0.113155,0.062491,0.496976,-0.053078,0.941561,-0.322056,-1.125925,-0.827869,-0.0078,0.511465,0.795051,-0.648783,0.52724,0.119737,-0.208206,-0.393915,-0.113633,-1.591385,0.871084,0.257975,0.161851,0.084482,0.202667,-0.517497,-0.124658,0.659597,-0.401258,1.122137,-0.725743,-0.811378,0.108124,0.261107,0.162852,0.595389
filtered_MAL0730.hg19.frag,1,-0.555732,0.804005,0.42653,0.600397,-0.060358,0.445286,-0.314793,0.402332,0.68988,-0.262361,0.073992,-0.257889,0.50302,0.719384,-0.119547,-0.294557,0.877064,0.266109,-0.235795,-0.230552,0.542532,-1.03059,0.108271,0.877369,-0.50798,-0.659362,0.231931,-0.540318,0.358136,0.413286,0.263737,-0.386133,-0.355876,-0.034751,0.886397,-0.366671,0.127325,0.149294,-0.340576,0.085051,-0.785896,-1.178274,0.685551,-0.003124,0.067273,0.523514,0.013424
filtered_MAL0730m.hg19.frag,0,1.149194,-1.166051,-0.222497,0.252639,0.920036,-0.48951,-1.241443,0.492381,-1.300087,-0.416589,-1.156585,-1.458023,-1.561508,-1.395382,-0.074257,0.257842,0.402998,-0.475073,0.09819,2.175998,-1.239736,-0.78855,-0.035657,-1.432277,0.043411,-0.776307,-1.059092,0.266057,-0.060073,-0.018103,-1.397423,-0.415266,-1.54167,-1.684484,2.206468,-0.493284,-0.852066,-0.820764,-0.893303,-0.712054,-0.613862,-0.465552,-0.183453,-2.234262,-1.429023,-0.040416,-0.620814
filtered_MAL0760.hg19.frag,1,-1.30237,1.507722,3.350245,-1.678261,1.192895,0.581466,0.476541,-0.964386,-2.065857,2.060655,2.42957,-0.551144,-1.228726,-1.141517,4.433599,-4.190185,-0.096464,-1.331528,1.976025,2.306237,-0.571098,1.887852,1.798435,3.747252,3.775544,-0.697611,-0.283741,0.839782,3.69084,-1.029583,0.244533,0.245779,-1.295143,-2.230148,1.895006,-0.373893,1.628609,0.474572,0.297465,-1.752063,-2.677203,3.456507,-4.271437,2.302179,-0.914692,1.731653,0.536147
filtered_MAL0760m.hg19.frag,0,-0.185463,0.152394,0.110405,-0.132045,-2.186979,0.198315,0.144228,-0.365993,0.583981,-0.992043,0.741194,0.0362,0.345009,0.621473,-0.834068,-0.201295,-0.281117,-1.637124,-1.077761,-1.533773,0.156111,0.335922,-0.677909,0.176185,-0.245779,-0.210484,-0.521297,-0.750342,-0.379944,-0.535408,-0.295744,-0.204128,0.062726,-0.254109,-1.782511,-1.048176,-0.670147,-0.808575,-0.583359,-0.577275,-0.569792,-0.0749,-0.076929,-0.789163,-0.070906,0.012576,-0.31171
filtered_MAL0766.hg19.frag,1,2.289566,-1.118629,0.183697,1.775951,-0.127203,-0.421035,-0.393687,-1.448038,3.24135,1.352202,3.906789,3.689997,0.981844,0.100256,1.727214,-1.190912,2.90031,-0.667849,-0.406105,-1.838972,-1.670495,0.455148,1.900958,1.257573,0.854746,0.976997,2.151347,-2.266616,2.987625,-0.387006,1.38398,0.582459,2.434313,1.776542,-0.934072,1.594571,-0.707522,2.139454,0.527541,-2.340965,0.523736,-0.956533,0.893854,2.600526,0.088383,-0.06454,-2.201529
