sample,label,FOXA2.10000.txt_amplitude,LEF1.10000.txt_amplitude,MIXL1.10000.txt_amplitude,NR1H2.10000.txt_amplitude,NR5A2.10000.txt_amplitude,ZIM3.10000.txt_amplitude,AHR.10000.txt_central_coverage,AR.10000.txt_central_coverage,ATF2.10000.txt_central_coverage,ATF7.10000.txt_central_coverage,CEBPA.10000.txt_central_coverage,EOMES.10000.txt_central_coverage,ERF.10000.txt_central_coverage,ESR1.10000.txt_central_coverage,FOXA1.10000.txt_central_coverage,FOXA2.10000.txt_central_coverage,FOXA3.10000.txt_central_coverage,GATA4.10000.txt_central_coverage,GATA6.10000.txt_central_coverage,HLF.10000.txt_central_coverage,HMGA1.10000.txt_central_coverage,HOXA2.10000.txt_central_coverage,IKZF2.10000.txt_central_coverage,IRF4.10000.txt_central_coverage,MYNN.10000.txt_central_coverage,NFIL3.10000.txt_central_coverage,NKX3.1.10000.txt_central_coverage,NR1H2.10000.txt_central_coverage,NR2F6.10000.txt_central_coverage,NR4A1.10000.txt_central_coverage,PHOX2B.10000.txt_central_coverage,PRDM1.10000.txt_central_coverage,RARA.10000.txt_central_coverage,SOX13.10000.txt_central_coverage,SOX5.10000.txt_central_coverage,SPIB.10000.txt_central_coverage,TCF3.10000.txt_central_coverage,TCF4.10000.txt_central_coverage,TCF7.10000.txt_central_coverage,TLX1.10000.txt_central_coverage,TP63.10000.txt_central_coverage,ZBTB11.10000.txt_central_coverage,ZIM3.10000.txt_central_coverage,ZNF317.10000.txt_central_coverage,ZNF382.10000.txt_central_coverage,ZSCAN16.10000.txt_central_coverage,ZSCAN4.10000.txt_central_coverage
filtered_MAL0730m.hg19.frag,0,0.86126,0.96218,5.46928,0.71693,0.30496,0.73135,0.98557,0.99563,0.9508,0.94747,0.82098,1.00599,0.85414,1.0093,0.93771,0.88765,0.90595,0.96506,0.98536,0.92433,0.99043,0.97822,0.90273,0.82236,0.85273,0.92875,1.00315,0.90056,0.91504,0.8538,1.0328,0.86573,0.7799,0.9337,0.9143,0.87574,0.81922,0.93638,0.94972,0.8454,0.97877,0.71835,0.99876,0.96269,0.98639,0.84703,0.90759
filtered_MAL0760.hg19.frag,1,1.62791,0.99206,5.70182,1.77479,1.20437,2.01865,0.93333,1.0413,1.03172,0.90616,0.82845,1.01991,0.89007,0.98924,0.92144,0.96951,0.92769,0.9734,0.98969,1.02685,0.65562,0.96878,0.88527,0.8733,0.91985,0.96596,1.09061,0.90235,0.92976,0.86724,0.99913,0.89138,0.80191,0.9387,0.90231,0.86697,0.82203,0.99147,0.96991,0.87164,0.95809,0.64063,0.90397,1.04343,0.99443,0.89184,0.94079
filtered_MAL0760m.hg19.frag,0,0.68317,0.11107,5.95473,0.63496,0.22826,0.85957,0.95713,1.01815,0.95834,0.93924,0.73592,1.01493,0.88312,0.99748,0.97774,0.93097,0.94177,1.01284,1.01976,0.90705,0.95587,0.96529,0.87904,0.79046,0.88093,0.91572,1.03031,0.91343,0.92525,0.82999,1.01558,0.88294,0.78693,0.96624,0.94573,0.76342,0.80616,0.94042,0.94991,0.85223,0.98145,0.72001,1.00123,0.98841,1.00762,0.84837,0.91646
filtered_MAL0766.hg19.frag,1,1.40866,0.04105,5.31947,0.9469,1.03575,0.5702,1.00987,0.99644,0.96,0.98006,0.79231,1.00688,0.87187,0.98258,1.0342,1.00323,1.02936,1.0288,1.01087,0.9653,0.88138,1.02542,0.8988,0.80868,0.88392,0.96804,1.04857,0.94044,0.97599,0.79447,1.02052,0.90918,0.81312,1.01434,0.99035,0.78731,0.86836,0.93959,0.99586,0.87671,0.94638,0.7612,1.02374,1.04874,1.01011,0.84642,0.86223
filtered_MAL0766m.hg19.frag,0,0.89168,0.50578,5.93226,0.45234,0.0297,0.71942,0.95338,1.03766,0.9457,0.92771,0.8045,0.99626,0.89044,1.00258,0.97694,0.9219,0.95916,0.99973,1.00927,0.91308,1.07766,0.94676,0.92211,0.82481,0.89404,0.91928,1.01208,0.9241,0.91727,0.84138,1.08922,0.88657,0.78326,0.96046,0.94836,0.81903,0.8395,0.97106,0.95853,0.86936,0.99288,0.78418,0.99437,0.98281,0.99352,0.84533,0.90904
filtered_MAL0769.hg19.frag,1,0.56375,0.43886,6.35919,0.52244,0.2557,0.76807,0.98553,1.02271,0.95725,0.94414,0.76036,1.0219,0.88823,1.01575,0.99068,0.94023,0.94771,1.01907,1.01632,0.93042,0.95834,0.98206,0.9138,0.81146,0.88145,0.92378,1.03469,0.92942,0.93433,0.8538,1.04898,0.87201,0.80223,0.95937,0.96043,0.79428,0.84772,0.9661,0.95007,0.86028,1.01951,0.76123,0.99771,1.01232,1.01214,0.8496,0.97364
filtered_MAL0769m.hg19.frag,0,1.01269,0.27306,6.19155,0.89062,0.12516,0.87615,0.94282,1.00497,0.93761,0.93074,0.74527,0.99532,0.87041,1.00068,0.94446,0.88338,0.92695,0.99644,1.01441,0.90801,1.02581,0.96387,0.91024,0.80141,0.8603,0.92432,1.00962,0.9235,0.92646,0.82156,1.04874,0.85843,0.77027,0.95104,0.92632,0.77193,0.81852,0.93343,0.9482,0.85358,1.00064,0.771,1.00326,0.97901,1.00697,0.8497,0.92602
filtered_MAL0779.hg19.frag,1,1.31062,0.47362,5.84552,0.97776,0.50322,0.81268,0.97051,1.02159,0.9915,0.96792,0.81909,1.0292,0.89864,1.00836,0.97819,0.91517,0.95543,1.02018,1.00785,0.9405,0.90305,0.96287,0.91454,0.82372,0.8889,0.9449,1.04624,0.9313,0.94647,0.87859,1.02013,0.8999,0.80641,0.99776,0.96371,0.82511,0.8406,0.95555,0.96802,0.88938,1.00971,0.71028,1.03048,1.02036,1.01934,0.88564,0.93428
filtered_MAL0779m.hg19.frag,0,1.08888,0.42454,6.23846,0.52169,0.12741,0.56425,0.94434,1.00082,0.94425,0.93454,0.78953,1.00488,0.8677,1.00122,0.96633,0.89393,0.92818,0.98298,0.99198,0.91672,1.03734,0.96868,0.89577,0.80583,0.8562,0.91768,1.02561,0.90567,0.92533,0.83495,1.03625,0.88356,0.77504,0.95618,0.94605,0.81214,0.82087,0.95086,0.95383,0.85332,0.99513,0.7589,1.00878,0.97359,1.00316,0.80159,0.94654
filtered_MAL0801.hg19.frag,1,1.23395,0.24068,5.51857,0.57961,0.53294,0.96289,0.99105,1.02684,0.96542,0.96982,0.81255,1.02348,0.90353,1.01345,0.97593,0.9148,0.95576,1.03572,1.0404,0.94534,0.88736,0.97065,0.93209,0.83779,0.89851,0.93911,1.03879,0.95796,0.94918,0.87412,0.96984,0.89373,0.83097,0.98953,0.95339,0.83384,0.84153,0.96807,0.98118,0.87912,1.00826,0.72324,1.03025,1.01883,1.03609,0.86351,0.95966
